JAMES          3.318  3.318      1
JOHN           3.271  6.589      2
ROBERT         3.143  9.732      3
MICHAEL        2.629 12.361      4
WILLIAM        2.451 14.812      5
DAVID          2.363 17.176      6
RICHARD        1.703 18.878      7
CHARLES        1.523 20.401      8
JOSEPH         1.404 21.805      9
THOMAS         1.380 23.185     10
CHRISTOPHER    1.035 24.220     11
DANIEL         0.974 25.194     12
PAUL           0.948 26.142     13
MARK           0.938 27.081     14
DONALD         0.931 28.012     15
GEORGE         0.927 28.939     16
KENNETH        0.826 29.766     17
STEVEN         0.780 30.546     18
EDWARD         0.779 31.325     19
BRIAN          0.736 32.061     20
RONALD         0.725 32.787     21
ANTHONY        0.721 33.508     22
KEVIN          0.671 34.179     23
JASON          0.660 34.839     24
MATTHEW        0.657 35.496     25
GARY           0.650 36.147     26
TIMOTHY        0.640 36.786     27
JOSE           0.613 37.399     28
LARRY          0.598 37.997     29
JEFFREY        0.591 38.588     30
FRANK          0.581 39.169     31
SCOTT          0.546 39.715     32
ERIC           0.544 40.259     33
STEPHEN        0.540 40.799     34
ANDREW         0.537 41.335     35
RAYMOND        0.488 41.824     36
GREGORY        0.441 42.265     37
JOSHUA         0.435 42.700     38
JERRY          0.432 43.132     39
DENNIS         0.415 43.547     40
WALTER         0.399 43.946     41
PATRICK        0.389 44.335     42
PETER          0.381 44.716     43
HAROLD         0.371 45.087     44
DOUGLAS        0.367 45.454     45
HENRY          0.365 45.819     46
CARL           0.346 46.165     47
ARTHUR         0.335 46.500     48
RYAN           0.328 46.828     49
ROGER          0.322 47.150     50
JOE            0.321 47.471     51
JUAN           0.316 47.786     52
JACK           0.315 48.102     53
ALBERT         0.314 48.415     54
JONATHAN       0.313 48.729     55
JUSTIN         0.311 49.040     56
TERRY          0.311 49.351     57
GERALD         0.309 49.660     58
KEITH          0.308 49.968     59
SAMUEL         0.306 50.274     60
WILLIE         0.302 50.576     61
RALPH          0.282 50.859     62
LAWRENCE       0.282 51.141     63
NICHOLAS       0.275 51.415     64
ROY            0.273 51.688     65
BENJAMIN       0.270 51.958     66
BRUCE          0.263 52.221     67
BRANDON        0.260 52.480     68
ADAM           0.259 52.740     69
HARRY          0.251 52.991     70
FRED           0.251 53.241     71
WAYNE          0.249 53.490     72
BILLY          0.248 53.738     73
STEVE          0.246 53.984     74
LOUIS          0.243 54.227     75
JEREMY         0.242 54.469     76
AARON          0.240 54.710     77
RANDY          0.232 54.942     78
HOWARD         0.230 55.172     79
EUGENE         0.230 55.402     80
CARLOS         0.229 55.630     81
RUSSELL        0.224 55.854     82
BOBBY          0.223 56.077     83
VICTOR         0.222 56.299     84
MARTIN         0.216 56.515     85
ERNEST         0.215 56.730     86
PHILLIP        0.213 56.942     87
TODD           0.213 57.155     88
JESSE          0.209 57.364     89
CRAIG          0.206 57.570     90
ALAN           0.204 57.774     91
SHAWN          0.200 57.973     92
CLARENCE       0.197 58.170     93
SEAN           0.197 58.368     94
PHILIP         0.197 58.565     95
CHRIS          0.197 58.761     96
JOHNNY         0.195 58.957     97
EARL           0.193 59.149     98
JIMMY          0.191 59.340     99
ANTONIO        0.190 59.531    100
MARY           2.629  2.629      1
PATRICIA       1.073  3.702      2
LINDA          1.035  4.736      3
BARBARA        0.980  5.716      4
ELIZABETH      0.937  6.653      5
JENNIFER       0.932  7.586      6
MARIA          0.828  8.414      7
SUSAN          0.794  9.209      8
MARGARET       0.768  9.976      9
DOROTHY        0.727 10.703     10
LISA           0.704 11.407     11
NANCY          0.669 12.075     12
KAREN          0.667 12.742     13
BETTY          0.666 13.408     14
HELEN          0.663 14.071     15
SANDRA         0.629 14.700     16
DONNA          0.583 15.282     17
CAROL          0.565 15.848     18
RUTH           0.562 16.410     19
SHARON         0.522 16.932     20
MICHELLE       0.519 17.451     21
LAURA          0.510 17.961     22
SARAH          0.508 18.469     23
KIMBERLY       0.504 18.973     24
DEBORAH        0.494 19.467     25
JESSICA        0.490 19.958     26
SHIRLEY        0.482 20.439     27
CYNTHIA        0.469 20.908     28
ANGELA         0.468 21.376     29
MELISSA        0.462 21.839     30
BRENDA         0.455 22.293     31
AMY            0.451 22.745     32
ANNA           0.440 23.185     33
REBECCA        0.430 23.615     34
VIRGINIA       0.430 24.044     35
KATHLEEN       0.424 24.468     36
PAMELA         0.416 24.884     37
MARTHA         0.412 25.297     38
DEBRA          0.408 25.704     39
AMANDA         0.404 26.108     40
STEPHANIE      0.400 26.508     41
CAROLYN        0.385 26.893     42
CHRISTINE      0.382 27.275     43
MARIE          0.379 27.655     44
JANET          0.379 28.034     45
CATHERINE      0.373 28.408     46
FRANCES        0.370 28.777     47
ANN            0.364 29.141     48
JOYCE          0.364 29.505     49
DIANE          0.359 29.864     50
ALICE          0.357 30.221     51
JULIE          0.348 30.568     52
HEATHER        0.337 30.905     53
TERESA         0.336 31.241     54
DORIS          0.335 31.577     55
GLORIA         0.335 31.912     56
EVELYN         0.322 32.233     57
JEAN           0.315 32.548     58
CHERYL         0.315 32.863     59
MILDRED        0.313 33.176     60
KATHERINE      0.313 33.489     61
JOAN           0.306 33.795     62
ASHLEY         0.303 34.098     63
JUDITH         0.297 34.395     64
ROSE           0.296 34.691     65
JANICE         0.285 34.975     66
KELLY          0.283 35.258     67
NICOLE         0.281 35.539     68
JUDY           0.276 35.815     69
CHRISTINA      0.275 36.090     70
KATHY          0.272 36.362     71
THERESA        0.271 36.633     72
BEVERLY        0.267 36.900     73
DENISE         0.264 37.164     74
TAMMY          0.259 37.423     75
IRENE          0.252 37.675     76
JANE           0.250 37.925     77
LORI           0.248 38.173     78
RACHEL         0.242 38.415     79
MARILYN        0.241 38.657     80
ANDREA         0.236 38.893     81
KATHRYN        0.234 39.127     82
LOUISE         0.229 39.356     83
SARA           0.229 39.584     84
ANNE           0.228 39.812     85
JACQUELINE     0.228 40.040     86
WANDA          0.226 40.266     87
BONNIE         0.223 40.489     88
JULIA          0.223 40.711     89
RUBY           0.221 40.932     90
LOIS           0.220 41.153     91
TINA           0.220 41.372     92
PHYLLIS        0.219 41.591     93
NORMA          0.218 41.809     94
PAULA          0.217 42.026     95
DIANA          0.216 42.242     96
ANNIE          0.216 42.458     97
LILLIAN        0.211 42.669     98
EMILY          0.208 42.877     99
ROBIN          0.208 43.085    100
